,Location,Year,Fuel_Type,Transmission,Owner_Type,Seats,Price,km_per_unit_fuel,engine_num,power_num,new_price_num,Brand,Model,price_log,kilometers_driven_log
0,Mumbai,2010,CNG,Manual,First,5.0,1.75,26.6,998.0,58.16,5.51,maruti,wagon,0.5596157879354227,11.184421397998193
1,Pune,2015,Diesel,Manual,First,5.0,12.5,19.67,1582.0,126.2,16.06,hyundai,creta,2.5257286443082556,10.621327345686446
2,Chennai,2011,Petrol,Manual,First,5.0,4.5,18.2,1199.0,88.7,8.61,honda,jazz,1.5040773967762742,10.736396675471232
3,Chennai,2012,Diesel,Manual,First,7.0,6.0,20.77,1248.0,88.76,11.27,maruti,ertiga,1.791759469228055,11.37366339763672
4,Coimbatore,2013,Diesel,Automatic,Second,5.0,17.74,15.2,1968.0,140.8,53.14,audi,a4,2.8758219768814333,10.61324599890127
5,Hyderabad,2012,LPG,Manual,First,5.0,2.35,21.1,814.0,55.2,4.26,hyundai,eon,0.8544153281560676,11.225243392518447
6,Jaipur,2013,Diesel,Manual,First,5.0,3.5,23.08,1461.0,63.1,9.47,nissan,micra,1.252762968495368,11.373651903317787
7,Mumbai,2016,Diesel,Automatic,First,8.0,17.5,11.36,2755.0,171.5,21.0,toyota,innova,2.8622008809294686,10.491274217438248
8,Pune,2013,Diesel,Manual,First,5.0,5.2,20.54,1598.0,103.6,13.23,volkswagen,vento,1.6486586255873816,11.073334642132687
9,Chennai,2012,Diesel,Manual,Second,5.0,1.95,22.3,1248.0,74.0,7.88,tata,indica,0.6678293725756554,11.096379186851246
10,Kochi,2018,Petrol,Manual,First,5.0,9.95,21.56,1462.0,103.25,10.65,maruti,ciaz,2.2975725511705014,10.153934938377683
11,Kolkata,2012,Petrol,Automatic,First,5.0,4.49,16.8,1497.0,116.3,13.58,honda,city,1.501852701754163,11.002099841204238
12,Jaipur,2015,Diesel,Manual,First,5.0,5.6,25.2,1248.0,74.0,7.88,maruti,swift,1.7227665977411035,11.07324151347538
13,Delhi,2014,Diesel,Automatic,First,5.0,27.0,12.7,2179.0,187.7,120.0,land,rover,3.295836866004329,11.184421397998193
14,Pune,2012,Diesel,Automatic,Second,5.0,17.5,0.0,2179.0,115.0,120.0,land,rover,2.8622008809294686,11.350406535472453
15,Delhi,2014,Diesel,Manual,First,7.0,15.0,13.5,2477.0,175.56,32.01,mitsubishi,pajero,2.70805020110221,11.608235644774552
16,Kochi,2016,Diesel,Manual,First,5.0,5.4,25.8,1498.0,98.6,8.54,honda,amaze,1.6863989535702288,10.984444905965518
17,Jaipur,2017,Diesel,Manual,First,5.0,5.99,28.4,1248.0,74.0,7.88,maruti,swift,1.7900914121273581,10.126631103850338
18,Kochi,2014,Diesel,Manual,First,5.0,6.34,20.45,1461.0,83.8,15.05,renault,duster,1.8468787684491346,11.257633135320098
19,Bangalore,2014,Diesel,Automatic,First,5.0,28.0,14.84,2143.0,167.62,49.49,mercedes-benz,new,3.332204510175204,11.2708539037705
20,Kochi,2014,Diesel,Automatic,First,5.0,18.55,22.69,1995.0,190.0,47.87,bmw,3,2.920469789053444,10.403717237088715
21,Bangalore,2015,Diesel,Manual,Second,5.0,8.25,23.65,1248.0,88.5,10.656666666666666,maruti,s,2.1102132003465894,10.922190457975935
22,Mumbai,2015,Petrol,Automatic,First,5.0,23.5,13.53,1984.0,177.01,67.1,audi,a6,3.1570004211501135,10.932839076694297
23,Kolkata,2010,Petrol,Manual,First,5.0,1.87,18.5,1197.0,80.0,10.25,hyundai,i20,0.6259384308664954,10.73219219685162
24,Kolkata,2010,Petrol,Automatic,First,5.0,2.85,14.4,1598.0,103.6,13.23,volkswagen,vento,1.0473189942805592,10.404262840448617
25,Mumbai,2012,Petrol,Manual,First,5.0,4.25,16.8,1497.0,116.3,13.58,honda,city,1.4469189829363254,10.857459351377972
26,Hyderabad,2012,Diesel,Manual,First,5.0,4.25,23.08,1461.0,63.1,9.47,nissan,micra,1.4469189829363254,10.896739325546411
27,Hyderabad,2013,Petrol,Manual,Second,5.0,2.75,20.92,998.0,67.1,4.36,maruti,alto,1.0116009116784799,10.896739325546411
28,Kochi,2018,Petrol,Manual,First,5.0,9.9,17.5,1199.0,88.7,10.57,honda,wrv,2.2925347571405443,10.530227800898475
29,Mumbai,2007,Diesel,Manual,Fourth & Above,7.0,4.0,12.8,2494.0,102.0,24.01,toyota,innova,1.3862943611198906,12.476099782743233
